ng,veclen,rpb,exec_name,cpu_cost (s),gpu_cost (s)
16384,64,4,mini_app_hip_3,3.49199999999999511E-3,1.24499999999999611E-3
16384,64,4,mini_app_hip_3_LDS,3.47100000000000186E-3,9.35000000000019149E-4
16384,64,4,mini_app_hip_3_LDS_NO_TRANSPOSE,2.17100000000003401E-3,9.41999999999998394E-4
16384,64,4,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,3.57299999999999285E-3,7.48000000000026422E-4
16384,64,4,mini_app_hip_4,3.77399999999999958E-3,7.91999999999959403E-4
16384,64,4,mini_app_hip_4_LDS,3.6080000000000001E-3,8.36000000000003407E-4
16384,64,4,mini_app_hip_4_LDS_NO_TRANSPOSE,3.64099999999994983E-3,8.1100000000000616E-4
16384,64,4,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,3.5560000000000036E-3,9.00000000000011902E-4
16384,64,4,mini_app_omp,3.71899999999997233E-3,4.35000000000018705E-4
256,128,2,mini_app_hip_1,6.10000000000332498E-5,1.22999999999984233E-4
256,128,2,mini_app_hip_1_LDS,5.90000000000034941E-5,1.13000000000001988E-4
256,128,2,mini_app_hip_1_LDS_NO_TRANSPOSE,5.79999999999747384E-5,1.06000000000022743E-4
256,128,2,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,6.300000000003525E-5,1.22000000000010989E-4
256,128,2,mini_app_hip_2,6.09999999999777387E-5,1.12000000000000988E-4
256,128,2,mini_app_hip_2_LDS,6.29999999999797389E-5,9.10000000000077414E-5
256,128,2,mini_app_hip_2_LDS_NO_TRANSPOSE,6.00000000000044942E-5,8.60000000000027409E-5
256,128,2,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,5.90000000000312497E-5,7.69999999999937401E-5
256,128,2,mini_app_hip_3,5.9999999999948983E-5,1.89999999999967972E-4
256,128,2,mini_app_hip_3_LDS,6.10000000000332498E-5,1.5399999999998748E-4
256,128,2,mini_app_hip_3_LDS_NO_TRANSPOSE,6.00000000000044942E-5,1.4999999999998348E-4
256,128,2,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,6.19999999999509832E-5,1.56000000000044992E-4
256,128,2,mini_app_hip_4,7.10000000000432507E-5,3.13999999999980961E-4
256,128,2,mini_app_hip_4_LDS,1.07999999999996987E-4,4.29000000000012705E-4
256,128,2,mini_app_hip_4_LDS_NO_TRANSPOSE,7.00000000000144951E-5,3.0399999999997096E-4
256,128,2,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,6.80000000000124949E-5,2.95999999999962959E-4
256,128,2,mini_app_omp,6.40000000000084945E-5,2.11999999999989974E-4
256,16,16,mini_app_hip_1,6.49999999999817391E-5,2.31000000000036732E-4
256,16,16,mini_app_hip_1_LDS,5.60000000000004938E-5,1.71999999999977726E-4
256,16,16,mini_app_hip_1_LDS_NO_TRANSPOSE,6.49999999999817391E-5,1.96000000000029484E-4
256,16,16,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,6.09999999999777387E-5,1.89999999999967972E-4
256,16,16,mini_app_hip_2,5.8000000000002494E-5,8.60000000000027409E-5
256,16,16,mini_app_hip_2_LDS,6.40000000000084945E-5,8.7000000000003741E-5
256,16,16,mini_app_hip_2_LDS_NO_TRANSPOSE,6.20000000000064944E-5,7.89999999999957403E-5
256,16,16,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,5.60000000000004938E-5,5.39999999999984936E-5
256,16,16,mini_app_hip_3,5.49999999999994937E-5,1.30000000000018989E-4
256,16,16,mini_app_hip_3_LDS,6.20000000000064944E-5,1.22000000000010989E-4
256,16,16,mini_app_hip_3_LDS_NO_TRANSPOSE,6.00000000000044942E-5,1.23999999999957478E-4
256,16,16,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,5.70000000000014939E-5,1.13000000000001988E-4
256,16,16,mini_app_hip_4,7.00000000000144951E-5,3.07000000000001716E-4
256,16,16,mini_app_hip_4_LDS,6.89999999999857394E-5,3.08000000000030472E-4
256,16,16,mini_app_hip_4_LDS_NO_TRANSPOSE,6.49999999999817391E-5,2.98000000000020471E-4
256,16,16,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,6.89999999999857394E-5,3.17999999999984961E-4
256,16,16,mini_app_omp,6.19999999999787388E-5,2.28000000000005976E-4
256,32,8,mini_app_hip_1,6.39999999999529834E-5,1.59000000000020236E-4
256,32,8,mini_app_hip_1_LDS,6.20000000000064944E-5,1.36999999999998234E-4
256,32,8,mini_app_hip_1_LDS_NO_TRANSPOSE,6.49999999999817391E-5,1.52999999999958725E-4
256,32,8,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,5.70000000000014939E-5,1.30999999999992234E-4
256,32,8,mini_app_hip_2,6.29999999999797389E-5,9.19999999999809859E-5
256,32,8,mini_app_hip_2_LDS,6.20000000000064944E-5,7.69999999999937401E-5
256,32,8,mini_app_hip_2_LDS_NO_TRANSPOSE,5.90000000000312497E-5,7.89999999999957403E-5
256,32,8,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,6.20000000000064944E-5,6.49999999999817391E-5
256,32,8,mini_app_hip_3,5.70000000000014939E-5,1.31000000000019989E-4
256,32,8,mini_app_hip_3_LDS,6.20000000000064944E-5,1.28999999999990234E-4
256,32,8,mini_app_hip_3_LDS_NO_TRANSPOSE,5.70000000000014939E-5,1.14000000000002988E-4
256,32,8,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,5.9999999999948983E-5,1.22000000000010989E-4
256,32,8,mini_app_hip_4,6.80000000000124949E-5,0.
256,32,8,mini_app_hip_4_LDS,7.00000000000144951E-5,4.38999999999967194E-4
256,32,8,mini_app_hip_4_LDS_NO_TRANSPOSE,6.90000000000412506E-5,3.11000000000005716E-4
256,32,8,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,6.60000000000104947E-5,3.02999999999997716E-4
256,32,8,mini_app_omp,6.00000000000044942E-5,2.21999999999999975E-4
256,64,4,mini_app_hip_1,6.10000000000332498E-5,1.33999999999967478E-4
256,64,4,mini_app_hip_1_LDS,6.70000000000114948E-5,1.23999999999985233E-4
256,64,4,mini_app_hip_1_LDS_NO_TRANSPOSE,5.90000000000034941E-5,1.17999999999979233E-4
256,64,4,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,5.8000000000002494E-5,1.18000000000006988E-4
256,64,4,mini_app_hip_2,5.60000000000004938E-5,8.60000000000027409E-5
256,64,4,mini_app_hip_2_LDS,5.60000000000004938E-5,8.19999999999987406E-5
256,64,4,mini_app_hip_2_LDS_NO_TRANSPOSE,6.40000000000084945E-5,8.29999999999997407E-5
256,64,4,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,5.39999999999984936E-5,6.00000000000044942E-5
256,64,4,mini_app_hip_3,6.60000000000104947E-5,1.68000000000001481E-4
256,64,4,mini_app_hip_3_LDS,6.20000000000064944E-5,1.29999999999963478E-4
256,64,4,mini_app_hip_3_LDS_NO_TRANSPOSE,6.79999999999569837E-5,1.3800000000002699E-4
256,64,4,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,5.60000000000004938E-5,1.19999999999981233E-4
256,64,4,mini_app_hip_4,6.80000000000124949E-5,3.04999999999999716E-4
256,64,4,mini_app_hip_4_LDS,7.09999999999877396E-5,3.15000000000009717E-4
256,64,4,mini_app_hip_4_LDS_NO_TRANSPOSE,7.00000000000144951E-5,3.17000000000011717E-4
256,64,4,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,6.90000000000412506E-5,3.0799999999997496E-4
256,64,4,mini_app_omp,6.00000000000044942E-5,2.28000000000005976E-4
262144,128,2,mini_app_hip_1,5.20729999999999249E-2,6.16499999999997605E-3
262144,128,2,mini_app_hip_1_LDS,5.16760000000000552E-2,4.06899999999998929E-3
262144,128,2,mini_app_hip_1_LDS_NO_TRANSPOSE,5.22260000000000502E-2,4.10300000000007881E-3
262144,128,2,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,5.19560000000000022E-2,4.09000000000003805E-3
262144,128,2,mini_app_hip_2,5.14080000000000092E-2,5.96299999999999608E-3
262144,128,2,mini_app_hip_2_LDS,5.1136999999999988E-2,3.00800000000001067E-3
262144,128,2,mini_app_hip_2_LDS_NO_TRANSPOSE,5.28750000000000053E-2,2.89499999999998092E-3
262144,128,2,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,5.3188000000000013E-2,2.7260000000000062E-3
262144,128,2,mini_app_hip_3,5.17620000000000857E-2,1.33480000000000265E-2
262144,128,2,mini_app_hip_3_LDS,5.23530000000000384E-2,1.09880000000001088E-2
262144,128,2,mini_app_hip_3_LDS_NO_TRANSPOSE,5.28359999999999941E-2,1.10479999999999468E-2
262144,128,2,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,5.34289999999999488E-2,1.09249999999999625E-2
262144,128,2,mini_app_hip_4,5.27480000000000171E-2,8.51400000000002155E-3
262144,128,2,mini_app_hip_4_LDS,5.24689999999999879E-2,8.36400000000003807E-3
262144,128,2,mini_app_hip_4_LDS_NO_TRANSPOSE,5.42670000000000652E-2,8.51099999999993528E-3
262144,128,2,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,5.33549999999999303E-2,8.5450000000000248E-3
262144,128,2,mini_app_omp,5.18179999999999752E-2,3.21599999999999664E-3
262144,16,16,mini_app_hip_1,5.19199999999999662E-2,2.88300000000000223E-2
262144,16,16,mini_app_hip_1_LDS,5.40899999999999714E-2,1.80219999999999825E-2
262144,16,16,mini_app_hip_1_LDS_NO_TRANSPOSE,5.33350000000000213E-2,1.83590000000000142E-2
262144,16,16,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,5.11759999999999993E-2,1.76250000000000018E-2
262144,16,16,mini_app_hip_2,5.23170000000000579E-2,1.40850000000000142E-2
262144,16,16,mini_app_hip_2_LDS,5.12520000000000753E-2,1.36709999999999887E-2
262144,16,16,mini_app_hip_2_LDS_NO_TRANSPOSE,5.17849999999999699E-2,6.94799999999995421E-3
262144,16,16,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,5.14459999999999917E-2,6.3960000000000683E-3
262144,16,16,mini_app_hip_3,5.09479999999999933E-2,6.44200000000000328E-2
262144,16,16,mini_app_hip_3_LDS,5.42909999999999782E-2,4.85019999999999341E-2
262144,16,16,mini_app_hip_3_LDS_NO_TRANSPOSE,5.20160000000000622E-2,4.84809999999999963E-2
262144,16,16,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,5.28490000000000348E-2,4.85050000000000203E-2
262144,16,16,mini_app_hip_4,5.16619999999999857E-2,2.15870000000000228E-2
262144,16,16,mini_app_hip_4_LDS,5.32810000000000228E-2,2.20090000000000563E-2
262144,16,16,mini_app_hip_4_LDS_NO_TRANSPOSE,5.46979999999999134E-2,2.17580000000000551E-2
262144,16,16,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,5.23310000000000164E-2,2.21630000000000438E-2
262144,16,16,mini_app_omp,5.19670000000000409E-2,3.21799999999994313E-3
262144,32,8,mini_app_hip_1,5.19639999999999547E-2,9.37399999999999345E-3
262144,32,8,mini_app_hip_1_LDS,5.30990000000000073E-2,6.88800000000000523E-3
262144,32,8,mini_app_hip_1_LDS_NO_TRANSPOSE,5.3485999999999978E-2,7.10299999999997045E-3
262144,32,8,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,5.26209999999999734E-2,7.08900000000001196E-3
262144,32,8,mini_app_hip_2,5.25720000000000631E-2,8.99499999999997524E-3
262144,32,8,mini_app_hip_2_LDS,5.13119999999999687E-2,4.93200000000004746E-3
262144,32,8,mini_app_hip_2_LDS_NO_TRANSPOSE,5.22719999999999851E-2,4.51299999999998924E-3
262144,32,8,mini_app_hip_2_LDS_NO_TRANSPOSE_FUSE_EG_C,5.22159999999999846E-2,4.35200000000002252E-3
262144,32,8,mini_app_hip_3,5.33529999999999838E-2,3.42810000000000059E-2
262144,32,8,mini_app_hip_3_LDS,5.49739999999999673E-2,2.12560000000000526E-2
262144,32,8,mini_app_hip_3_LDS_NO_TRANSPOSE,5.17869999999999164E-2,2.15509999999999868E-2
262144,32,8,mini_app_hip_3_LDS_NO_TRANSPOSE_FUSE_EG_C,5.136099999999999E-2,2.10859999999999381E-2
262144,32,8,mini_app_hip_4,5.17589999999999995E-2,8.25699999999995882E-3
262144,32,8,mini_app_hip_4_LDS,5.17340000000000577E-2,1.22769999999999824E-2
262144,32,8,mini_app_hip_4_LDS_NO_TRANSPOSE,5.12580000000000258E-2,1.22360000000000246E-2
262144,32,8,mini_app_hip_4_LDS_NO_TRANSPOSE_FUSE_EG_C,5.52719999999999878E-2,1.23810000000000864E-2
262144,32,8,mini_app_omp,5.19519999999999982E-2,3.23800000000001864E-3
262144,64,4,mini_app_hip_1,5.16819999999999502E-2,7.02700000000000546E-3
262144,64,4,mini_app_hip_1_LDS,5.3149999999999975E-2,4.34400000000001452E-3
262144,64,4,mini_app_hip_1_LDS_NO_TRANSPOSE,5.10440000000000338E-2,4.19500000000005979E-3
262144,64,4,mini_app_hip_1_LDS_NO_TRANSPOSE_FUSE_EG_C,5.28810000000000668E-2,4.33700000000003527E-3
262144,64,4,mini_app_hip_2,5.26400000000000201E-2,6.67599999999990423E-3
262144,64,4,mini_app_hip_2_LDS,5.28820000000000401E-2,3.39500000000003688E-3
262144,64,4,mini_app_hip_2_LDS_NO_TRANSPOSE,5.12759999999999327E-2,3.19700000000000539E-3
